time	I(Rs)
0.000000000000000e+000	0.000000e+000
1.142857156212683e-007	-1.548985e-005
2.285714312425366e-007	-3.077862e-005
3.428571468638050e-007	-4.586629e-005
4.571428624850733e-007	-6.075288e-005
5.714285781063416e-007	-7.543838e-005
6.857142937276099e-007	-8.992280e-005
8.000000093488779e-007	-1.042061e-004
1.548685030902821e-006	-1.940991e-004
2.624482924464393e-006	-3.121260e-004
4.211303388178195e-006	-4.649443e-004
6.321407260377591e-006	-6.348119e-004
9.203948198219691e-006	-8.172030e-004
1.294870973533297e-005	-9.896799e-004
1.795148352954746e-005	-1.141093e-003
2.453353782379889e-005	-1.254751e-003
3.354280741136964e-005	-1.327208e-003
4.330843241136964e-005	-1.351812e-003
5.307405741136965e-005	-1.347545e-003
6.283968241136964e-005	-1.329024e-003
8.237093241136963e-005	-1.269394e-003
1.019021824113696e-004	-1.188546e-003
1.214334324113696e-004	-1.089553e-003
1.409646824113696e-004	-9.741380e-004
1.604959324113696e-004	-8.440668e-004
1.800271824113697e-004	-7.012995e-004
1.995584324113697e-004	-5.479839e-004
2.190896824113697e-004	-3.864261e-004
2.386209324113697e-004	-2.190562e-004
2.581521824113697e-004	-4.839139e-005
2.776834324113697e-004	1.230012e-004
2.972146824113697e-004	2.925438e-004
3.167459324113697e-004	4.576863e-004
3.362771824113698e-004	6.159447e-004
3.558084324113698e-004	7.649387e-004
3.753396824113698e-004	9.024274e-004
3.948709324113698e-004	1.026343e-003
4.144021824113698e-004	1.134821e-003
4.339334324113699e-004	1.226230e-003
4.534646824113699e-004	1.299196e-003
4.729959324113699e-004	1.352621e-003
4.925271824113699e-004	1.385701e-003
5.120584324113699e-004	1.397938e-003
5.315896824113699e-004	1.389150e-003
5.511209324113699e-004	1.359467e-003
5.706521824113699e-004	1.309337e-003
5.901834324113699e-004	1.239513e-003
6.097146824113700e-004	1.151045e-003
6.292459324113700e-004	1.045265e-003
6.487771824113700e-004	9.237633e-004
6.683084324113700e-004	7.883671e-004
6.878396824113700e-004	6.411131e-004
7.073709324113700e-004	4.842162e-004
7.269021824113701e-004	3.200362e-004
7.464334324113701e-004	1.510426e-004
7.659646824113701e-004	-2.022285e-005
7.854959324113701e-004	-1.911841e-004
8.050271824113701e-004	-3.592698e-004
8.245584324113701e-004	-5.219517e-004
8.440896824113702e-004	-6.767830e-004
8.636209324113702e-004	-8.214349e-004
8.831521824113702e-004	-9.537315e-004
9.026834324113702e-004	-1.071683e-003
9.222146824113702e-004	-1.173516e-003
9.417459324113702e-004	-1.257698e-003
9.612771824113703e-004	-1.322962e-003
9.808084324113703e-004	-1.368329e-003
1.000339682411370e-003	-1.393114e-003
1.019870932411370e-003	-1.396946e-003
1.039402182411370e-003	-1.379766e-003
1.058933432411370e-003	-1.341833e-003
1.078464682411370e-003	-1.283718e-003
1.097995932411370e-003	-1.206295e-003
1.117527182411370e-003	-1.110727e-003
1.137058432411370e-003	-9.984537e-004
1.156589682411370e-003	-8.711624e-004
1.176120932411371e-003	-7.307680e-004
1.195652182411371e-003	-5.793822e-004
1.215183432411371e-003	-4.192819e-004
1.234714682411371e-003	-2.528753e-004
1.254245932411371e-003	-8.266512e-005
1.273777182411371e-003	8.878838e-005
1.293308432411371e-003	2.589064e-004
1.312839682411371e-003	4.251303e-004
1.332370932411371e-003	5.849598e-004
1.351902182411371e-003	7.359909e-004
1.371433432411371e-003	8.759521e-004
1.390964682411371e-003	1.002738e-003
1.410495932411371e-003	1.114442e-003
1.430027182411371e-003	1.209384e-003
1.449558432411371e-003	1.286135e-003
1.469089682411371e-003	1.343542e-003
1.488620932411371e-003	1.380740e-003
1.508152182411371e-003	1.397172e-003
1.527683432411371e-003	1.392588e-003
1.547214682411371e-003	1.367058e-003
1.566745932411371e-003	1.320967e-003
1.586277182411371e-003	1.255007e-003
1.605808432411371e-003	1.170170e-003
1.625339682411371e-003	1.067734e-003
1.644870932411371e-003	9.492369e-004
1.664402182411371e-003	8.164629e-004
1.683933432411371e-003	6.714085e-004
1.703464682411371e-003	5.162556e-004
1.722995932411371e-003	3.533376e-004
1.742527182411371e-003	1.851051e-004
1.762058432411371e-003	1.408851e-005
