time	I(Rs)
0.000000000000000e+000	0.000000e+000
1.142857156212683e-007	-1.060782e-005
2.285714312425366e-007	-2.112057e-005
3.428571468638050e-007	-3.153824e-005
4.571428624850733e-007	-4.186085e-005
5.714285781063416e-007	-5.208838e-005
6.857142937276099e-007	-6.222083e-005
8.000000093488779e-007	-7.225822e-005
1.600000018697756e-006	-1.403670e-004
2.897860367514090e-006	-2.434147e-004
4.807868661325308e-006	-3.799335e-004
7.469613043334676e-006	-5.439149e-004
1.107243328225895e-005	-7.252303e-004
1.585359823567136e-005	-9.089792e-004
2.215296018251479e-005	-1.078383e-003
3.045762327357168e-005	-1.218683e-003
4.022324827357168e-005	-1.309801e-003
4.998887327357168e-005	-1.351074e-003
5.975449827357168e-005	-1.361656e-003
6.952012327357167e-005	-1.353870e-003
7.928574827357167e-005	-1.334139e-003
8.905137327357166e-005	-1.305846e-003
1.085826232735717e-004	-1.230037e-003
1.281138732735717e-004	-1.133548e-003
1.476451232735717e-004	-1.019427e-003
1.671763732735717e-004	-8.898176e-004
1.867076232735717e-004	-7.467825e-004
2.062388732735717e-004	-5.925038e-004
2.257701232735717e-004	-4.293105e-004
2.453013732735717e-004	-2.596590e-004
2.648326232735718e-004	-8.610191e-005
2.843638732735718e-004	8.875034e-005
3.038951232735718e-004	2.622677e-004
3.234263732735718e-004	4.318403e-004
3.429576232735718e-004	5.949177e-004
3.624888732735718e-004	7.490470e-004
3.820201232735719e-004	8.919098e-004
4.015513732735719e-004	1.021358e-003
4.210826232735719e-004	1.135443e-003
4.406138732735719e-004	1.232450e-003
4.601451232735719e-004	1.310921e-003
4.796763732735719e-004	1.369674e-003
4.992076232735720e-004	1.407825e-003
5.187388732735720e-004	1.424802e-003
5.382701232735720e-004	1.420348e-003
5.578013732735720e-004	1.394531e-003
5.773326232735720e-004	1.347739e-003
5.968638732735721e-004	1.280675e-003
6.163951232735721e-004	1.194349e-003
6.359263732735721e-004	1.090059e-003
6.554576232735721e-004	9.693737e-004
6.749888732735721e-004	8.341079e-004
6.945201232735721e-004	6.862963e-004
7.140513732735722e-004	5.281621e-004
7.335826232735722e-004	3.620839e-004
7.531138732735722e-004	1.905596e-004
7.726451232735722e-004	1.616917e-005
7.921763732735722e-004	-1.584645e-004
8.117076232735722e-004	-3.307147e-004
8.312388732735723e-004	-4.979907e-004
8.507701232735723e-004	-6.577764e-004
8.703013732735723e-004	-8.076685e-004
8.898326232735723e-004	-9.454126e-004
9.093638732735723e-004	-1.068937e-003
9.288951232735723e-004	-1.176383e-003
9.484263732735724e-004	-1.266136e-003
9.679576232735724e-004	-1.336844e-003
9.874888732735723e-004	-1.387445e-003
1.007020123273572e-003	-1.417178e-003
1.026551373273572e-003	-1.425595e-003
1.046082623273572e-003	-1.412570e-003
1.065613873273572e-003	-1.378299e-003
1.085145123273572e-003	-1.323296e-003
1.104676373273572e-003	-1.248390e-003
1.124207623273572e-003	-1.154707e-003
1.143738873273572e-003	-1.043656e-003
1.163270123273572e-003	-9.169077e-004
1.182801373273573e-003	-7.763681e-004
1.202332623273573e-003	-6.241512e-004
1.221863873273573e-003	-4.625465e-004
1.241395123273573e-003	-2.939847e-004
1.260926373273573e-003	-1.210011e-004
1.280457623273573e-003	5.380255e-005
1.299988873273573e-003	2.277969e-004
1.319520123273573e-003	3.983650e-004
1.339051373273573e-003	5.629413e-004
1.358582623273573e-003	7.190504e-004
1.378113873273573e-003	8.643444e-004
1.397645123273573e-003	9.966379e-004
1.417176373273573e-003	1.113941e-003
1.436707623273573e-003	1.214489e-003
1.456238873273573e-003	1.296771e-003
1.475770123273573e-003	1.359547e-003
1.495301373273573e-003	1.401875e-003
1.514832623273573e-003	1.423117e-003
1.534363873273573e-003	1.422955e-003
1.553895123273573e-003	1.401389e-003
1.573426373273573e-003	1.358746e-003
1.592957623273573e-003	1.295666e-003
1.612488873273573e-003	1.213097e-003
1.632020123273573e-003	1.112283e-003
1.651551373273573e-003	9.947387e-004
1.671082623273573e-003	8.622328e-004
1.690613873273573e-003	7.167580e-004
1.710145123273573e-003	5.605026e-004
1.729676373273573e-003	3.958166e-004
1.749207623273573e-003	2.251772e-004
1.768738873273573e-003	5.115096e-005
1.788270123273573e-003	-1.236447e-004
1.807801373273573e-003	-2.965805e-004
1.827332623273573e-003	-4.650556e-004
1.846863873273573e-003	-6.265357e-004
1.866395123273573e-003	-7.785922e-004
1.885926373273573e-003	-9.189380e-004
1.905457623273573e-003	-1.045462e-003
1.924988873273573e-003	-1.156261e-003
1.944520123273573e-003	-1.249669e-003
1.964051373273573e-003	-1.324281e-003
1.983582623273572e-003	-1.378975e-003
2.003113873273572e-003	-1.412927e-003
2.022645123273572e-003	-1.425628e-003
2.042176373273571e-003	-1.416886e-003
2.061707623273571e-003	-1.386832e-003
2.081238873273570e-003	-1.335920e-003
2.100770123273570e-003	-1.264914e-003
2.120301373273569e-003	-1.174882e-003
2.139832623273569e-003	-1.067179e-003
2.159363873273569e-003	-9.434249e-004
2.178895123273568e-003	-8.054806e-004
2.198426373273568e-003	-6.554212e-004
2.217957623273567e-003	-4.955035e-004
2.237488873273567e-003	-3.281331e-004
2.257020123273567e-003	-1.558273e-004
2.276551373273566e-003	1.882236e-005
2.296082623273566e-003	1.931889e-004
2.315613873273565e-003	3.646497e-004
2.335145123273565e-003	5.306258e-004
2.354676373273564e-003	6.886208e-004
2.374207623273564e-003	8.362583e-004
2.393738873273564e-003	9.713178e-004
2.413270123273563e-003	1.091768e-003
2.432801373273563e-003	1.195796e-003
2.452332623273562e-003	1.281839e-003
2.471863873273562e-003	1.348602e-003
2.491395123273562e-003	1.395080e-003
2.510926373273561e-003	1.420576e-003
2.530457623273561e-003	1.424704e-003
2.549988873273560e-003	1.407404e-003
2.569520123273560e-003	1.368935e-003
2.589051373273559e-003	1.309875e-003
2.608582623273559e-003	1.231114e-003
2.628113873273559e-003	1.133836e-003
2.647645123273558e-003	1.019505e-003
2.667176373273558e-003	8.898382e-004
2.686707623273557e-003	7.467880e-004
2.706238873273557e-003	5.925053e-004
2.725770123273557e-003	4.293109e-004
2.745301373273556e-003	2.596592e-004
2.764832623273556e-003	8.610194e-005
2.784363873273555e-003	-8.875033e-005
2.803895123273555e-003	-2.622677e-004
2.823426373273554e-003	-4.318403e-004
2.842957623273554e-003	-5.949177e-004
2.862488873273554e-003	-7.490470e-004
2.882020123273553e-003	-8.919098e-004
2.901551373273553e-003	-1.021358e-003
2.921082623273552e-003	-1.135443e-003
2.940613873273552e-003	-1.232450e-003
2.960145123273552e-003	-1.310921e-003
2.979676373273551e-003	-1.369674e-003
2.999207623273551e-003	-1.407825e-003
3.018738873273550e-003	-1.424802e-003
3.038270123273550e-003	-1.420348e-003
3.057801373273549e-003	-1.394531e-003
3.077332623273549e-003	-1.347739e-003
3.096863873273549e-003	-1.280675e-003
3.116395123273548e-003	-1.194349e-003
3.135926373273548e-003	-1.090059e-003
3.155457623273547e-003	-9.693737e-004
3.174988873273547e-003	-8.341079e-004
3.194520123273547e-003	-6.862963e-004
3.214051373273546e-003	-5.281621e-004
3.233582623273546e-003	-3.620839e-004
3.253113873273545e-003	-1.905596e-004
3.272645123273545e-003	-1.616917e-005
3.292176373273544e-003	1.584645e-004
3.311707623273544e-003	3.307147e-004
3.331238873273544e-003	4.979907e-004
3.350770123273543e-003	6.577764e-004
3.370301373273543e-003	8.076685e-004
3.389832623273542e-003	9.454126e-004
3.409363873273542e-003	1.068937e-003
3.428895123273542e-003	1.176383e-003
3.448426373273541e-003	1.266136e-003
3.467957623273541e-003	1.336844e-003
3.487488873273540e-003	1.387445e-003
3.507020123273540e-003	1.417178e-003
3.526551373273539e-003	1.425595e-003
3.546082623273539e-003	1.412570e-003
3.565613873273539e-003	1.378299e-003
3.585145123273538e-003	1.323296e-003
3.604676373273538e-003	1.248390e-003
3.624207623273537e-003	1.154707e-003
3.643738873273537e-003	1.043656e-003
3.663270123273537e-003	9.169077e-004
3.682801373273536e-003	7.763681e-004
3.702332623273536e-003	6.241512e-004
3.721863873273535e-003	4.625465e-004
3.741395123273535e-003	2.939847e-004
3.760926373273534e-003	1.210011e-004
3.780457623273534e-003	-5.380255e-005
3.799988873273534e-003	-2.277969e-004
3.819520123273533e-003	-3.983650e-004
3.839051373273533e-003	-5.629413e-004
3.858582623273532e-003	-7.190504e-004
3.878113873273532e-003	-8.643444e-004
3.897645123273532e-003	-9.966379e-004
3.917176373273532e-003	-1.113941e-003
3.936707623273531e-003	-1.214489e-003
3.956238873273531e-003	-1.296771e-003
3.975770123273530e-003	-1.359547e-003
3.995301373273530e-003	-1.401875e-003
4.014832623273529e-003	-1.423117e-003
4.034363873273529e-003	-1.422955e-003
4.053895123273529e-003	-1.401389e-003
4.073426373273528e-003	-1.358746e-003
4.092957623273528e-003	-1.295666e-003
4.112488873273527e-003	-1.213097e-003
4.132020123273527e-003	-1.112283e-003
4.151551373273527e-003	-9.947387e-004
4.171082623273526e-003	-8.622328e-004
4.190613873273526e-003	-7.167580e-004
4.210145123273525e-003	-5.605026e-004
4.229676373273525e-003	-3.958166e-004
4.249207623273524e-003	-2.251772e-004
4.268738873273524e-003	-5.115096e-005
4.288270123273524e-003	1.236447e-004
4.307801373273523e-003	2.965805e-004
4.327332623273523e-003	4.650556e-004
4.346863873273522e-003	6.265357e-004
4.366395123273522e-003	7.785922e-004
4.385926373273522e-003	9.189380e-004
4.405457623273521e-003	1.045462e-003
4.424988873273521e-003	1.156261e-003
4.444520123273520e-003	1.249669e-003
4.464051373273520e-003	1.324281e-003
4.483582623273519e-003	1.378975e-003
4.503113873273519e-003	1.412927e-003
4.522645123273519e-003	1.425628e-003
4.542176373273518e-003	1.416886e-003
4.561707623273518e-003	1.386832e-003
4.581238873273517e-003	1.335920e-003
4.600770123273517e-003	1.264914e-003
4.620301373273517e-003	1.174882e-003
4.639832623273516e-003	1.067179e-003
4.659363873273516e-003	9.434249e-004
4.678895123273515e-003	8.054806e-004
4.698426373273515e-003	6.554212e-004
4.717957623273515e-003	4.955035e-004
4.737488873273514e-003	3.281331e-004
4.757020123273514e-003	1.558273e-004
4.776551373273513e-003	-1.882236e-005
4.796082623273513e-003	-1.931889e-004
4.815613873273512e-003	-3.646497e-004
4.835145123273512e-003	-5.306258e-004
4.854676373273512e-003	-6.886208e-004
4.874207623273511e-003	-8.362583e-004
4.893738873273511e-003	-9.713178e-004
4.913270123273510e-003	-1.091768e-003
4.932801373273510e-003	-1.195796e-003
4.952332623273510e-003	-1.281839e-003
4.971863873273509e-003	-1.348602e-003
4.991395123273509e-003	-1.395080e-003
5.010926373273508e-003	-1.420576e-003
5.030457623273508e-003	-1.424704e-003
5.049988873273507e-003	-1.407404e-003
5.069520123273507e-003	-1.368935e-003
5.089051373273507e-003	-1.309875e-003
5.108582623273506e-003	-1.231114e-003
5.128113873273506e-003	-1.133836e-003
5.147645123273505e-003	-1.019505e-003
5.167176373273505e-003	-8.898382e-004
5.186707623273505e-003	-7.467880e-004
5.206238873273504e-003	-5.925053e-004
5.225770123273504e-003	-4.293109e-004
5.245301373273503e-003	-2.596592e-004
5.264832623273503e-003	-8.610194e-005
5.284363873273502e-003	8.875033e-005
5.303895123273502e-003	2.622677e-004
5.323426373273502e-003	4.318403e-004
5.342957623273501e-003	5.949177e-004
5.362488873273501e-003	7.490470e-004
5.382020123273500e-003	8.919098e-004
5.401551373273500e-003	1.021358e-003
5.421082623273500e-003	1.135443e-003
5.440613873273499e-003	1.232450e-003
5.460145123273499e-003	1.310921e-003
5.479676373273498e-003	1.369674e-003
5.499207623273498e-003	1.407825e-003
5.518738873273497e-003	1.424802e-003
5.538270123273497e-003	1.420348e-003
5.557801373273497e-003	1.394531e-003
5.577332623273496e-003	1.347739e-003
5.596863873273496e-003	1.280675e-003
5.616395123273495e-003	1.194349e-003
5.635926373273495e-003	1.090059e-003
5.655457623273495e-003	9.693737e-004
5.674988873273494e-003	8.341079e-004
5.694520123273494e-003	6.862963e-004
5.714051373273493e-003	5.281621e-004
5.733582623273493e-003	3.620839e-004
5.753113873273492e-003	1.905596e-004
5.772645123273492e-003	1.616917e-005
5.792176373273492e-003	-1.584645e-004
5.811707623273491e-003	-3.307147e-004
5.831238873273491e-003	-4.979907e-004
5.850770123273490e-003	-6.577764e-004
5.870301373273490e-003	-8.076685e-004
5.889832623273490e-003	-9.454126e-004
5.909363873273489e-003	-1.068937e-003
5.928895123273489e-003	-1.176383e-003
5.948426373273488e-003	-1.266136e-003
5.967957623273488e-003	-1.336844e-003
5.987488873273487e-003	-1.387445e-003
6.007020123273487e-003	-1.417178e-003
6.026551373273487e-003	-1.425595e-003
6.046082623273486e-003	-1.412570e-003
6.065613873273486e-003	-1.378299e-003
6.085145123273485e-003	-1.323296e-003
6.104676373273485e-003	-1.248390e-003
6.124207623273485e-003	-1.154707e-003
6.143738873273484e-003	-1.043656e-003
6.163270123273484e-003	-9.169077e-004
6.182801373273483e-003	-7.763681e-004
6.202332623273483e-003	-6.241512e-004
6.221863873273482e-003	-4.625465e-004
6.241395123273482e-003	-2.939847e-004
6.260926373273482e-003	-1.210011e-004
6.280457623273481e-003	5.380255e-005
6.299988873273481e-003	2.277969e-004
6.319520123273480e-003	3.983650e-004
6.339051373273480e-003	5.629413e-004
6.358582623273480e-003	7.190504e-004
6.378113873273479e-003	8.643444e-004
6.397645123273479e-003	9.966379e-004
6.417176373273478e-003	1.113941e-003
6.436707623273478e-003	1.214489e-003
6.456238873273477e-003	1.296771e-003
6.475770123273477e-003	1.359547e-003
6.495301373273477e-003	1.401875e-003
6.514832623273476e-003	1.423117e-003
6.534363873273476e-003	1.422955e-003
6.553895123273475e-003	1.401389e-003
6.573426373273475e-003	1.358746e-003
6.592957623273475e-003	1.295666e-003
6.612488873273474e-003	1.213097e-003
6.632020123273474e-003	1.112283e-003
6.651551373273473e-003	9.947387e-004
6.671082623273473e-003	8.622328e-004
6.690613873273472e-003	7.167580e-004
6.710145123273472e-003	5.605026e-004
6.729676373273472e-003	3.958166e-004
6.749207623273471e-003	2.251772e-004
6.768738873273471e-003	5.115096e-005
6.788270123273470e-003	-1.236447e-004
6.807801373273470e-003	-2.965805e-004
6.827332623273470e-003	-4.650556e-004
6.846863873273469e-003	-6.265357e-004
6.866395123273469e-003	-7.785922e-004
6.885926373273468e-003	-9.189380e-004
6.905457623273468e-003	-1.045462e-003
6.924988873273467e-003	-1.156261e-003
6.944520123273467e-003	-1.249669e-003
6.964051373273467e-003	-1.324281e-003
6.983582623273466e-003	-1.378975e-003
7.003113873273466e-003	-1.412927e-003
7.022645123273465e-003	-1.425628e-003
7.042176373273465e-003	-1.416886e-003
7.061707623273465e-003	-1.386832e-003
7.081238873273464e-003	-1.335920e-003
7.100770123273464e-003	-1.264914e-003
7.120301373273463e-003	-1.174882e-003
7.139832623273463e-003	-1.067179e-003
7.159363873273462e-003	-9.434249e-004
7.178895123273462e-003	-8.054806e-004
7.198426373273462e-003	-6.554212e-004
7.217957623273461e-003	-4.955035e-004
7.237488873273461e-003	-3.281331e-004
7.257020123273460e-003	-1.558273e-004
7.276551373273460e-003	1.882236e-005
7.296082623273460e-003	1.931889e-004
7.315613873273459e-003	3.646497e-004
7.335145123273459e-003	5.306258e-004
7.354676373273458e-003	6.886208e-004
7.374207623273458e-003	8.362583e-004
7.393738873273457e-003	9.713178e-004
7.413270123273457e-003	1.091768e-003
7.432801373273457e-003	1.195796e-003
7.452332623273456e-003	1.281839e-003
7.471863873273456e-003	1.348602e-003
7.491395123273455e-003	1.395080e-003
7.510926373273455e-003	1.420576e-003
7.530457623273455e-003	1.424704e-003
7.549988873273454e-003	1.407404e-003
7.569520123273454e-003	1.368935e-003
7.589051373273453e-003	1.309875e-003
7.608582623273453e-003	1.231114e-003
7.628113873273452e-003	1.133836e-003
7.647645123273452e-003	1.019505e-003
7.667176373273452e-003	8.898382e-004
7.686707623273451e-003	7.467880e-004
7.706238873273451e-003	5.925053e-004
7.725770123273450e-003	4.293109e-004
