time	I(Rs)
0.000000000000000e+000	0.000000e+000
1.142857156212683e-007	-1.604446e-005
2.285714312425366e-007	-3.188882e-005
3.428571468638050e-007	-4.753308e-005
4.571428624850733e-007	-6.297724e-005
5.714285781063416e-007	-7.822129e-005
6.857142937276099e-007	-9.326524e-005
8.000000093488779e-007	-1.081091e-004
1.567221579745548e-006	-2.039423e-004
2.665818731338005e-006	-3.296196e-004
4.301536755354427e-006	-4.943449e-004
6.470986502425630e-006	-6.776149e-004
9.448218638685788e-006	-8.761509e-004
1.330733001073148e-005	-1.064490e-003
1.847203405197923e-005	-1.231232e-003
2.524829096923690e-005	-1.357131e-003
3.451542190148828e-005	-1.438434e-003
4.428104690148829e-005	-1.466087e-003
5.404667190148829e-005	-1.462054e-003
6.381229690148829e-005	-1.442138e-003
8.334354690148828e-005	-1.376838e-003
1.028747969014883e-004	-1.288039e-003
1.224060469014883e-004	-1.179470e-003
1.419372969014883e-004	-1.053105e-003
1.614685469014883e-004	-9.108924e-004
1.809997969014883e-004	-7.549779e-004
2.005310469014883e-004	-5.877076e-004
2.200622969014884e-004	-4.115975e-004
2.395935469014884e-004	-2.292967e-004
2.591247969014884e-004	-4.354708e-005
2.786560469014884e-004	1.428575e-004
2.981872969014884e-004	3.271135e-004
3.177185469014884e-004	5.064493e-004
3.372497969014885e-004	6.781677e-004
3.567810469014885e-004	8.396858e-004
3.763122969014885e-004	9.885742e-004
3.958435469014885e-004	1.122594e-003
4.153747969014885e-004	1.239728e-003
4.349060469014885e-004	1.338216e-003
4.544372969014886e-004	1.416576e-003
4.739685469014886e-004	1.473629e-003
4.934997969014886e-004	1.508517e-003
5.130310469014886e-004	1.520716e-003
5.325622969014886e-004	1.510042e-003
5.520935469014886e-004	1.476656e-003
5.716247969014887e-004	1.421059e-003
5.911560469014887e-004	1.344088e-003
6.106872969014887e-004	1.246901e-003
6.302185469014887e-004	1.130959e-003
6.497497969014887e-004	9.980071e-004
6.692810469014888e-004	8.500437e-004
6.888122969014888e-004	6.892949e-004
7.083435469014888e-004	5.181785e-004
7.278747969014888e-004	3.392682e-004
7.474060469014888e-004	1.552550e-004
7.669372969014888e-004	-3.109341e-005
7.864685469014889e-004	-2.169741e-004
8.059997969014889e-004	-3.995914e-004
8.255310469014889e-004	-5.761984e-004
8.450622969014889e-004	-7.441388e-004
8.645935469014889e-004	-9.008867e-004
8.841247969014889e-004	-1.044084e-003
9.036560469014890e-004	-1.171578e-003
9.231872969014890e-004	-1.281450e-003
9.427185469014890e-004	-1.372048e-003
9.622497969014890e-004	-1.442009e-003
9.817810469014889e-004	-1.490281e-003
1.001312296901489e-003	-1.516138e-003
1.020843546901489e-003	-1.519190e-003
1.040374796901489e-003	-1.499393e-003
