x,y
0,0
183.86529528231299,-1802.25103057247
367.723576820773,-3717.1497330269945
735.447153641546,-5519.40076359948
919.3054351800062,-7209.0127161006885
1287.0290120007858,-9011.263746673174
1470.8943072831053,-10813.514777245644
1838.6108703600253,-12615.774401628923
2574.0580240015715,-14643.3035883439
3309.505177643124,-16783.480446940932
4044.945317540824,-18585.73147751342
4780.3924711823765,-20500.630179967942
5515.83261108007,-22190.242132469168
6251.279764721622,-24105.1322411129
7354.443481440095,-26357.948177781192
8457.61421190242,-28498.125036378224
9376.919647082439,-30638.29759806986
10296.225082262446,-32553.192003618995
11031.66522216014,-34242.80395612021
11950.97065734015,-36157.68976785855
12870.276092520164,-37847.30172035976
13789.581527700177,-39536.91367286099
14892.752258162509,-41339.17329724426
16179.781270163301,-43028.78524974547
17466.803268420223,-44831.04057722335
18937.697575703332,-46408.009154747924
20592.44315078104,-48097.62110724914
22614.919316423377,-49787.23305975036
24637.388468321857,-51589.48838722823
26475.999338681886,-53166.4569647528
28314.610209041908,-54630.790761111515
29969.36279786348,-56207.75933863608
32359.55552658273,-57559.44976001813
34198.16639694275,-58798.49680642353
36220.63554884124,-60037.548149734335
38059.24641920126,-61276.59519613974
40081.71557109974,-62403.00531292658
42471.91531356287,-63529.413281260735
44678.2427469998,-64768.46032766614
47068.44248946292,-65894.86829600028
49458.64223192604,-67133.91749085838
52400.41681900453,-68260.32545919252
55526.04968762149,-69161.45097447875
59019.41314680309,-69949.93741169374
61961.18773388157,-70513.14139586082
65086.83462998623,-70963.70415350393
68396.32578014165,-71301.6278330758
71521.97267624634,-71414.26691114705
74831.46382640174,-71639.54936419496
77589.38013194177,-71752.18629381352
80898.88530958492,-71752.18629381352
83840.65989666339,-71526.90813767101
86598.57620220342,-71188.98230964645
89356.49250774345,-70738.42384890871
92114.40881328349,-70287.8589428129
94872.32511882352,-69724.65495864583
97997.95798744047,-68823.5294433596
100204.29944836514,-67809.758404644
102778.35747236671,-66908.63718626316
104984.68490580368,-65894.86829600028
107558.74292980524,-64655.821249594876
109765.07036324221,-63529.413281260735
112155.27010570529,-62290.36408640263
114545.45582068071,-60488.108758924755
116567.93900006692,-59136.42263444809
118774.26643350384,-57784.73221306604
120796.73558540233,-56320.40271361273
123186.93532786545,-54630.790761111515
125393.26276130238,-52828.53543363363
127415.73191320089,-50801.00195001325
129438.21509258707,-49224.02907558329
130725.237090844,-47759.69957612998
132379.98967966554,-46070.08762362875
133667.01167792248,-44267.83659305628
135137.9059852056,-42690.86371862631
136608.786265001,-40888.61268805384
137711.9640092072,-39086.35736057597
138815.12772592565,-37284.09773619269
139918.2914426441,-35481.855299431016
141205.31344090105,-33679.59997195315
142308.4911851072,-31652.05789452196
143227.79662028723,-29624.53300471237
144330.96033700573,-27709.63000535245
145250.26577218572,-25682.105115542854
145985.7129258273,-23767.20641308833
146721.14605198114,-21852.316304444597
147456.59320562266,-19824.77852391882
148008.18207772577,-17797.249337203826
148743.6152038796,-15882.350634749302
149479.07638500887,-13742.182369963062
149846.7929480858,-11602.005511366031
150214.5095111627,-9687.10680891149
150398.3818201889,-7884.85577833902
150582.22607423965,-6195.2438258378115
150766.0983832658,-4392.992795265325
150949.97069229197,-2703.3808427641015
151133.81494634273,-1239.0470464054006
151317.6872553689,0
