x,y
0,0
443.59271565922813,-3726.722147309579
887.2023532958751,-7919.257907540595
1330.795068955119,-11413.04659289717
1774.387784614347,-15605.600123456376
2217.997422250994,-19798.13588368739
2661.590137910238,-23990.68941424658
3105.1997755468847,-27950.309482852783
3548.792491206113,-31909.947321787175
4435.994844502004,-37500.00388725929
6653.992266753029,-44487.58125797249
8871.989689004007,-51708.083205474584
11533.579826914278,-57763.980039360365
13751.577249165286,-63121.12091320767
16413.184309052944,-67779.50582701647
19961.976800259057,-73602.48696927748
23954.378929101847,-79192.55241991367
29277.559204922323,-85248.44925379948
33713.55404942435,-90605.59901281088
39923.95360051814,-96195.65557828297
45690.76043595269,-101086.96506888067
52788.345418364945,-106211.17692335704
58555.11840984468,-110869.56183716582
65209.11067659771,-115527.94675097462
71863.10294335074,-119254.66445570216
81622.31190762804,-123680.12035014002
91381.48702795057,-127406.83805486756
99809.88400129534,-129968.94620339676
109569.05912161787,-132298.13866030116
117997.45609496262,-134161.48640620982
129974.66248149096,-135326.08263466202
140177.43031747275,-135559.01165403295
152154.63670400108,-135326.08263466202
162357.40453998282,-133462.73488875336
170785.80151332763,-131832.29394930543
180101.3839179909,-129270.19024335826
187198.96890040318,-126940.99778645387
193852.96116715617,-123913.04936951096
199619.76800259072,-120885.09650998602
204942.9482784112,-117857.13920787902
210266.1623981865,-114596.27954189335
215589.342674007,-111102.49085653677
220468.9302341683,-107608.70217118018
224461.33236301108,-104580.75375423727
228453.73449185383,-101785.72102891917
232446.13662069655,-98291.93234356257
235551.31947426606,-95263.98392661968
239100.1288874496,-92236.02662451268
241761.7190253598,-88742.23793915607
244866.90187892932,-85714.28952221316
247528.5258607944,-82220.50083685658
250633.70871436392,-78726.71215149997
253295.29885227414,-75000.00777451858
255513.29627452517,-71506.21908916197
257731.2936967762,-67546.59013539167
259505.6984033679,-63354.04548999658
261723.69582561892,-59161.50084460147
263498.10053221066,-54736.013852089294
265272.5052388025,-50543.486977022374
266603.2833857802,-46816.77371487687
267934.0953767127,-42391.31337785697
269264.87352369045,-38431.666653758475
270595.68551462295,-34472.05547031639
271926.4975055555,-30046.586248132386
272813.6829368739,-25155.28564269879
273257.2756525332,-20729.816420514802
274144.4949278065,-15605.600123456376
275031.680359125,-10947.21520964761
275475.2730747842,-5590.065450636178
276362.4923500575,-1863.3610736547896
276806.08506571676,0
