x,y
0,0
443.59271565922813,-4425.469222183986
887.2023532958751,-8152.173599165408
1330.795068955119,-11413.04659289717
2217.997422250994,-15605.600123456376
3105.1997755468847,-19565.220192062592
3992.3852068653728,-23524.858030996988
4879.587560161263,-27018.646716353578
6210.382629116382,-30745.351093334964
7097.584982412258,-34472.05547031639
7984.787335708148,-38198.76873246187
9315.582404663268,-42158.388801068075
11089.987111255034,-46350.94233162728
12864.374895869412,-50776.402668647184
15082.37231812039,-55434.78758245597
16856.777024712173,-59394.39876589808
18631.181731303954,-62655.28952995808
21292.78879119161,-66614.90959856428
23510.78621344259,-70341.62286070977
26615.969067012087,-74301.25181448006
29721.151920581553,-78493.79645987517
32826.36861810586,-82453.42541364548
35931.55147167535,-85947.21409900206
39923.95360051814,-89673.91847598348
44359.94844502016,-93167.70716134008
48352.350573862925,-96661.49584669668
53231.9381340242,-100388.20022367807
58555.11840984468,-104347.82917744838
63434.73981396073,-108074.53799701182
69201.51280544046,-111335.41099074362
74524.72692521579,-114130.43927347966
79847.90720103629,-116459.63173038408
85614.71403647083,-118788.82418728845
91381.48702795057,-121118.01664419287
98922.69856997688,-122748.45314105877
106020.28355238911,-124611.80532954946
113117.86853480141,-125543.48142379482
119771.86080155443,-126242.24182641538
126869.44578396669,-126242.24182641538
133523.43805071973,-126009.31280704442
140177.43031747275,-125310.56128958796
146387.8298685665,-124378.8851953426
152598.2294196603,-123214.28896689041
157921.4096954808,-121816.77260423136
164131.80924657456,-119953.42041574066
170342.20879766834,-118090.06822724997
175665.38907348888,-115993.79590455242
180544.97663365013,-113664.603447648
185868.19075342538,-111102.49085653677
190304.18559792746,-108307.45813121866
194296.58772677017,-105512.42540590058
199176.17528693142,-102717.39268058247
203612.17013143346,-99922.36884042848
207604.57226027624,-96894.41153832147
212040.56710477834,-93633.54742975377
215589.342674007,-89906.83416760826
219138.15208719057,-86180.12979062687
222686.92765641928,-82686.34110527026
225792.14435394356,-78260.87188308628
228897.32720751304,-74534.16750610487
231558.9173454233,-71040.37882074827
234220.54132728837,-66149.07821531467
236438.53874953935,-61956.52468475548
238656.5361717904,-57763.980039360365
240430.90703442736,-53804.35108559009
243092.5310162924,-49611.806440194974
244866.90187892932,-45419.24402447169
246641.30658552112,-40295.036612577394
248415.7112921129,-35170.81143035487
249746.5232830454,-31444.089283045276
251077.30143002316,-27018.646716353578
251520.89414568237,-22127.328340591772
252408.11342095566,-18400.623963610386
252851.7061366149,-14906.83527825381
253295.29885227414,-10947.21520964761
254182.51812754743,-6987.577370713183
255069.70355886593,-3726.722147309579
255513.29627452517,-931.6805368273782
255956.88899018438,0
