time,V(vinput)
0.0,0.0
1.142857156212683e-07,0.007180789
2.285714312425366e-07,0.01436157
3.42857146863805e-07,0.02154233
4.571428624850733e-07,0.02872308
5.714285781063416e-07,0.03590382
6.857142937276099e-07,0.04308455
8.000000093488779e-07,0.05026527
1.600000018697756e-06,0.1005293
2.832046092207796e-06,0.1779333
4.664060846415633e-06,0.2930096
7.163611562529998e-06,0.449951
1.057416167799984e-05,0.6639055
1.505231378255121e-05,0.9443555
2.099363613123081e-05,1.315247
2.879738635623472e-05,1.799536
3.856301135623472e-05,2.399347
4.832863635623472e-05,2.990126
5.809426135623473e-05,3.569652
6.785988635623472e-05,4.135742
7.762551135623472e-05,4.686266
9.715676135623472e-05,5.732395
0.0001166880113562347,6.692303
0.0001362192613562347,7.551552
0.0001557505113562347,8.297219
0.0001752817613562347,8.918089
0.0001948130113562348,9.404821
0.0002143442613562348,9.750097
0.0002338755113562348,9.948722
0.0002534067613562348,9.997709
0.0002729380113562348,9.896321
0.0002924692613562348,9.646084
0.0003120005113562349,9.25076
0.0003315317613562349,8.716296
0.0003510630113562349,8.050731
0.0003705942613562349,7.264076
0.0003901255113562349,6.368162
0.0004096567613562349,5.376464
0.000429188011356235,4.3039
0.000448719261356235,3.166602
0.000468250511356235,1.981674
0.000487781761356235,0.7669407
0.000507313011356235,-0.4593284
0.000526844261356235,-1.678689
0.000546375511356235,-2.8728
0.000565906761356235,-4.023702
0.0005854380113562352,-5.114083
0.0006049692613562351,-6.127544
0.0006245005113562351,-7.048841
0.0006440317613562351,-7.864117
0.0006635630113562351,-8.56111
0.0006830942613562351,-9.129334
0.0007026255113562351,-9.560246
0.0007221567613562352,-9.847363
0.0007416880113562352,-9.986365
0.0007612192613562352,-9.975164
0.0007807505113562352,-9.813927
0.0008002817613562352,-9.505079
0.0008198130113562353,-9.053267
0.0008393442613562353,-8.465284
0.0008588755113562353,-7.749976
0.0008784067613562353,-6.918101
0.0008979380113562353,-5.982172
0.0009174692613562352,-4.956264
0.0009370005113562354,-3.85581
0.0009565317613562354,-2.697361
0.0009760630113562354,-1.498342
0.0009955942613562353,-0.2767854
0.001015125511356235,0.948934
0.001034656761356235,2.16038
0.001054188011356235,3.339333
0.001073719261356235,4.468059
0.001093250511356235,5.52958
0.001112781761356235,6.507932
0.001132313011356235,7.388399
0.001151844261356235,8.157737
0.001171375511356236,8.804375
0.001190906761356236,9.318587
0.001210438011356236,9.692639
0.001229969261356236,9.920905
0.001249500511356236,9.99995
0.001269031761356236,9.928588
0.001288563011356236,9.707891
0.001308094261356236,9.341177
0.001327625511356236,8.833963
0.001347156761356236,8.193879
0.001366688011356236,7.430551
0.001386219261356236,6.55546
0.001405750511356236,5.581769
0.001425281761356236,4.524124
0.001444813011356236,3.398431
0.001464344261356236,2.221623
0.001483875511356236,1.011399
0.001503406761356236,-0.2140368
0.001522938011356236,-1.436253
0.001542469261356236,-2.636868
0.001562000511356236,-3.797821
0.001581531761356236,-4.901651
0.001601063011356236,-5.931756
0.001620594261356236,-6.872642
0.001640125511356236,-7.710157
0.001659656761356236,-8.431704
0.001679188011356236,-9.02643
0.001698719261356236,-9.485391
0.001718250511356236,-9.801682
0.001737781761356236,-9.970547
0.001757313011356236,-9.989446
0.001776844261356236,-9.858093
0.001796375511356236,-9.578466
0.001815906761356236,-9.154771
0.001835438011356236,-8.593378
0.001854969261356236,-7.902734
0.001874500511356236,-7.093225
0.001894031761356236,-6.177027
0.001913563011356236,-5.167921
0.001933094261356236,-4.081085
0.001952625511356236,-2.932865
0.001972156761356236,-1.740532
0.001991688011356236,-0.5220203
0.002011219261356235,0.7043433
0.002030750511356235,1.920113
0.002050281761356234,3.107002
0.002069813011356234,4.247159
0.002089344261356234,5.323435
0.002108875511356233,6.319642
0.002128406761356233,7.220795
0.002147938011356232,8.013341
0.002167469261356232,8.685358
0.002187000511356231,9.22674
0.002206531761356231,9.629343
0.002226063011356231,9.887112
0.00224559426135623,9.996169
0.00226512551135623,9.954874
0.002284656761356229,9.763849
0.002304188011356229,9.425967
0.002323719261356229,8.946309
0.002343250511356228,8.332091
0.002362781761356228,7.59255
0.002382313011356227,6.73881
0.002401844261356227,5.783712
0.002421375511356226,4.741622
0.002440906761356226,3.628213
0.002460438011356226,2.460233
0.002479969261356225,1.255248
0.002499500511356225,0.03138375
0.002519031761356224,-1.192953
0.002538563011356224,-2.399347
0.002558094261356224,-3.569652
0.002577625511356223,-4.686266
0.002597156761356223,-5.732395
0.002616688011356222,-6.692303
0.002636219261356222,-7.551552
0.002655750511356221,-8.297219
0.002675281761356221,-8.918089
0.002694813011356221,-9.404821
0.00271434426135622,-9.750097
0.00273387551135622,-9.948722
0.002753406761356219,-9.997709
0.002772938011356219,-9.896321
0.002792469261356219,-9.646084
0.002812000511356218,-9.25076
0.002831531761356218,-8.716296
0.002851063011356217,-8.050731
0.002870594261356217,-7.264076
0.002890125511356216,-6.368162
0.002909656761356216,-5.376464
0.002929188011356216,-4.3039
0.002948719261356215,-3.166602
0.002968250511356215,-1.981674
