x,y
0,0
566.0291259587915,-4314.334275472412
1132.07984454463,-8936.83024678637
1698.1089705034015,-13867.487913941835
2264.15968908924,-18181.822189414248
3396.217941006763,-23112.47985656971
4528.297785551353,-27734.975827883693
5660.377630095963,-32049.31010335608
6792.457474640552,-36363.64437882852
7924.537319185162,-40677.9786543009
9056.595571102705,-44992.3011741582
10754.726134233133,-49306.61193840027
11886.784386150675,-53620.96972510302
13584.914949281085,-58243.46569641696
15283.023919784446,-62865.96166773092
16981.13289028785,-67488.45763904486
19245.29257937705,-71802.78015890211
21509.43067583918,-75808.94098291783
24339.61949088715,-80431.43695423177
26603.77917997633,-84437.60953386266
29999.997120983055,-89060.10550517662
32830.18593603106,-93374.42802503386
35660.374751079034,-97996.9239963478
38490.56356612697,-102619.41996766177
41886.78150713369,-106933.75424313417
45849.07175935334,-111248.07676299143
49811.31882631885,-116178.74618576208
54905.66733045604,-121109.40385291756
59433.98670863444,-126348.23497152973
63962.26290155871,-130970.73094284367
69056.61140569586,-135285.06521831607
74150.95990983305,-139291.2260423318
80377.36666588775,-143605.54268438148
86603.77342194247,-146995.38599452173
93396.25248921006,-151001.54681853743
99622.65924526475,-155007.71352036076
106981.12425323702,-157473.03059832333
114905.66157242215,-160554.6945791993
122830.19889160727,-163636.35856007526
132452.8235886687,-166101.69914926818
142075.49147098433,-168567.0338606535
151698.11616804573,-170416.027546933
159056.62436127214,-172265.0271110201
168679.24905833357,-173189.52983196743
177169.81550347744,-173805.8591014581
186792.48338579302,-173497.691527809
196981.1372088132,-173189.52983196743
213962.270099101,-169799.68652182719
205471.70365395714,-171648.69784152944
221320.7782923274,-167642.53113970617
229245.31561151252,-165485.3698797775
237735.88205665647,-163020.0351683922
245660.3761905875,-159322.04191802558
253584.91350977262,-155932.19860788537
260377.39257704024,-152234.2112353263
267735.85758501245,-148228.03865569545
275094.3657782388,-143913.72201364578
281320.7725342936,-139907.55531182245
286981.15016438946,-135901.38860999915
292075.49866852665,-131895.22778598344
297169.84717266384,-126656.39666737126
301698.1233655881,-122342.07414751401
306792.47186972527,-117719.57817620004
311886.82037386246,-113713.41735218432
317547.1980039583,-107550.08939043242
322075.4741968827,-102619.41996766177
326037.7644491023,-97072.42715320805
330000.0115160678,-93066.26632919234
333396.2294570745,-87827.43521058017
337358.5197092942,-82896.77754342469
339622.67939838336,-77041.58776628396
342452.8682134314,-71494.61846306059
345849.08615443803,-66255.7638332181
348113.2458435272,-59167.96253955672
349811.33322140353,-52696.461126348106
352075.49291049276,-46841.30661605288
353773.6234736232,-40677.9786543009
354905.6817255407,-33898.303789635625
355471.7108514995,-27734.975827883693
356037.73997745826,-21571.647866131738
356603.81228867115,-16332.828503134726
357169.84141462995,-10785.82393306589
357735.8705405887,-5238.842874227332
358301.8996665475,-1540.8319904379719
358867.92879250617,0
