x,y
0,0
566.0291259587915,-5855.166265910383
1132.07984454463,-11710.332531820812
2264.15968908924,-17257.33710188969
2830.1888150479913,-22187.994769045155
3962.268659592601,-27426.814132042167
4528.297785551353,-32357.47179919763
5660.377630095963,-37288.152977583435
7358.4866005993235,-42526.97234058045
8490.566445143913,-47149.46831189439
10188.675415647314,-52388.27591927624
12452.835104736514,-58551.60388102817
15283.023919784446,-65023.11704985194
18113.212734832436,-70878.25980453203
21509.43067583918,-77349.77297335581
24905.670209472988,-82896.77754342469
28301.888150479714,-88443.77035787838
32264.156810072272,-93990.76317233208
36226.40387703779,-99537.7559867858
41320.752381174934,-105392.92225269618
45283.04263339459,-109399.0830767119
49811.31882631885,-113405.24390072764
53773.6090785385,-117103.24302890184
60000.015834593236,-121725.73900021578
64528.2920275175,-126348.23497152973
69056.61140569586,-129738.06064824725
74150.95990983305,-133744.2332278781
80377.36666588775,-137442.22060043714
86603.77342194247,-141448.38730226044
95660.36899304514,-146070.88327357438
103018.87718627151,-150077.0499753977
110377.38537949788,-152850.5346270094
117169.82126151137,-155932.19860788537
126226.41683261404,-158705.70677072735
135283.0124037167,-160862.8739084636
142641.52059694304,-163020.0351683922
150566.05791612822,-164560.86715883017
159056.62436127214,-165485.3698797775
169245.2781842923,-166409.8667229173
178301.9169406491,-167026.20187021553
186792.48338579302,-166718.02254095123
197547.166334772,-165485.3698797775
206603.80509112883,-164252.69958518108
216226.4297881903,-162095.5265696373
224150.9671073754,-159938.37118751623
233207.56267847802,-156548.54551079872
241132.09999766314,-152850.5346270094
249056.63731684836,-149460.71482809947
255283.04407290305,-145762.72157773288
262075.4799549165,-142064.71069394352
268867.95902218414,-137750.39405189385
275094.3657782388,-133127.89808057988
281320.7725342936,-128813.56380510746
287547.17929034826,-123574.73268649529
293773.586046403,-117719.57817620004
298867.9345505402,-112480.74705758788
303396.2539287185,-106625.5807916775
307924.5301216428,-101386.76142868047
311886.82037386246,-95839.7568586116
315849.06744082796,-89676.42889685967
319245.28538183466,-83821.27438656444
322641.5465080955,-78582.41975672194
325471.73532314354,-73343.61214934009
328301.92413819145,-68104.78103072791
330566.0406420265,-61325.12967729293
332264.17120515695,-56086.29855868073
333962.30176828743,-50231.13229277035
336226.4182721225,-44375.97778247513
338490.5779612117,-38520.79976094956
339622.67939838336,-32973.818702111
340754.73765030096,-26810.49074035907
341886.79590221844,-21263.486170290234
343018.89733939,-15408.319904379807
344150.9555913076,-10169.500541382795
344716.98471726646,-5855.166265910383
345849.08615443803,-2465.340589192892
346415.1152803969,0
